排名,字詞,出現次數
,真縱放半數私校,2
,農村,2
,生態,2
,中能離岸風機環評將補考,2
,twngoxyz,2
,polygraph,2
,709,2
,打開二峰圳,2
,天然,2
,2017年反轉錄病毒和伺機性感染年度大會,2
,能源局,2
,何以安居,2
,修法,2
,大地浮生錄,2
,台,2
,rfa獨家首發,2
,國會全武行何時休,2
,之夜,2
,joint,2
,2017年4,2
,2017年5,2
,川普當選,2
,彩虹爽爽狂妖夜ii之今晚誰沒病,2
,精障性少數的回憶,2
,呂秀蓮,2
,再編8,2
,原來同志也可以申請收養小孩,2
,2016年11,2
,簡介,2
,壓垮柯p文資新政的最後一枝稻草,2
,婚姻平權法案,2
,okfntw,2
,綠色和平,2
,以李宏基案為例,2
,311反核遊行,2
,針對hydis工人案台灣聲援者抗議移民署遭訴,2
,疾管署新增愛滋指定醫院及指定藥局,2
,多元成家,2
,勵馨榮耀,2
,暫停電業法一讀版協商,2
,修法圖利財團,2
,公聽會,2
,海洋跟我,2
,綠繪本故事列車,2
,黑名單,2
,重回2009,2
,2016年,2
,20161014,2
,殺人執照,2
,再有新龍縣藏人在四川甘孜自焚抗議,2
,取回被國家扣押的幸福,2
,3月1日世界零歧視日,2
,易容小溪,2
,英語生態導覽培訓課程,2
,宗教十餘團體齊上街,2
,第18,2
,第19,2
,同志職場甘苦談,2
,ming,2
,主講,2
,發現農地工廠先查土地分區,2
,世代最大隱憂,2
,2,2
,0,2
,違反新聞自律原則讓夏林清上節目喊冤引導輿論公審及判案,2
,主婦聯盟,2
,別成為轉型正義的絆腳石,2
,時,2
,台灣古蹟巡禮系列,2
,vcm檢測罹癌風險低,2
,問題,2
,iv,2
,ii,2
,cop22現場觀察報告,2
,綠電,2
,李和平判緩刑後仍下落不明,2
,看見,2
,廖桂賢,2
,讓綠能為信仰充電,2
,同志家庭不能等婚姻平權要全面,2
,淺談台灣精障死刑審理與判決的困境,2
,2016海廢數據,2
,或許當吾人對這些指標,2
,0,2
,回應內政部國籍法素行不良認定,2
,發表會後記者會,2
,蔡正元,2
,template,2
,作核四封存預算,2
,民間監督大法官人選聯盟記者會,2
,我國的再犯率與監獄矯治效能,2
,2016年台灣愛滋感染者受侵權現況調查報告,2
,傻瓜,2
,民調,2
,q,2
,2017年04月捐款徵信,2
,綠色職人誌,2
,thank,2
,女同性戀家庭子女,2
,你好嗎,2
,報告,2
,1210讓生命不再逝去,2
,five,2
,反對延長銷售緩衝期,2
,感謝參與2016年婦女新知感恩茶會,2
,broadcast,2
,中學生人權,2
,13,2
,別讓長照服務法變成廢柴法案,2
,廢清法修法通過,2
,5億,2
,比西里岸故事,2
,本文整理介紹一些英美國家ngo,2
,105年度國人自製兒童暨青少年優質節目五星長頒獎典禮暨座談會,2
,gen,2
,中油大林廠下修vocs排放,2
,司法改革的新課題,2
,4道路,2
,律師觀點,2
,社會運動的階段與角色,2
,人權星期3,2
,起厝,2
,初探,2
,適齡兒童電視節目105年度下半年評選結果,2
,環保,2
,全國大專兼任教師站出來,2
,離岸風機與白海豚搶地盤,2
,兩岸,2
,環團要求,2
,連續工作24天,2
,食安五環也轉彎,2
,檢察官不是行政官嗎,2
,kmt,2
,譴責教育部及輔大校方太過消極被動,2
,gore,2
,法院,2
,工作用,2
,不分有無本職,2
,性別冷感,2
,important,2
,社團聯盟代表拜會司法院,2
,種出健康糧食好幸福,2
,保護區包夾,2
,一日農夫,2
,抓肥貓,2
,男男性行為不再永不得捐血,2
,傾向資本,2
,主題,2
,永續垃圾,2
,向教育部討公道,2
,同志權益平等適用,2
,24,2
,27,2
,21,2
,good,2
,直指甲酸氣體與致癌物,2
,倒數百日,2
,evaluation,2
,4起,2
,tahr,2
,邱伊翎,2
,受理報名中,2
,上千台電員工徒步串連抗議,2
,高教工會發起連署與提出試算,2
,結論性意見與建議,2
,民間,2
,我們要求國家負擔育嬰假期間全部保費,2
,中英文版,2
,沒有垃圾的一年,2
,給這一代吃貨的地圖,2
,000家農地工廠如何解,2
,組織,2
,校產將流向誰處,2
,排除大專兼任教師適用勞基法,2
,別等扎根,2
,源頭減量,2
,勵馨觀點,2
,在台外籍愛滋感染者將可納入健保,2
,要求公,2
,318三週年,2
,屏東,2
,共諜案,2
,其中有許多準確的npo,2
,20161216,2
,酷兒盟,2
,記者會新聞稿,2
,請注意,2
,拉喀,2
,2017年第六屆全國公民行動方案競賽,2
,性平專責機構不可取代,2
,ngo數位資源電子報,2
,全球ngo線上科技使用,2
,croi,2
,塑膠袋佔海洋垃圾大宗,2
,草案,2
,31,2
,34,2
,光陰的故事,2
,蔬食料理,2
,今年才獲,2
,收養紀錄片座談會,2
,島內回收系統建立有效,2
,368坪的等待,2
,這些學校不需要公益董事,2
,轉型正義與暫時權利保護,2
,第9屆兩岸四地啟智服務研討會,2
,galaxy,2
,li,2
,挺澎湖反賭場,2
,電業法修正草案,2
,莫站到污染行為人那一方,2
,臺江臺語文學,2
,20161113,2
,改革尚未成功,2
,這就是六輕的味道,2
,最多優秀立委,2
,非營利組織資訊科技運用,2
,棒球牽起的台南情,2
,人權招牌不要亂掛,2
,318運動三週年的今晚,2
,年金改革的性別正義第一步,2
,案情類別分析,2
,許博任,2
,議會小旅行,2
,緝毒的辛苦,2
,市民如何參與能源轉型,2
,高教與勞動政策總體檢,2
,石油焦許可證將到期,2
,的永續利用之道,2
,國際溼地日,2
,川蔡通話,2
,做好這些準備,2
,國民黨亂提千案等同護航預算,2
,tests,2
,要求違章工廠政策開放公民參與,2
,宜蘭水利會保育柯林湧泉,2
,政策環評,2
,看見台灣記者會,2
,九成中國消費者願意花錢買綠電,2
,不應展延,2
,微光世界,2
,2016同志諮詢熱線,2
,最少待觀察,2
,揮開看不見的手,2
,糧食日,2
,護理人員,2
,媽,2
,advocacy,2
,終止兒童受暴,2
,希望進一步協助ngo,2
,煽顛,2
,民生基金會,2
,九二共識,2
,修復工程一窺伏流水取水奧祕,2
,開放,2
,彰化海岸濕地,2
,惹議,2
,請讓人民的意見進國會,2
,營造一場運動,2
,國健署無定論,2
,里山資本,2
,礦下有人,2
,當同志變老,2
,earth,2
,徵人啟事,2
,ocf,2
,法扶報報電子報,2
,report,2
,我們堅決反對行政院性別平等處被改為,2
,招傳染病反噬人類,2
,雲縣,2
,新聞稿暨發言稿,2
,湧泉幸福學,2
,2016年09月捐款徵信,2
,欣見廢除通姦罪的曙光出現,2
,news,2
,前瞻,2
,司法無法可救,2
,保障勞動權,2
,20170122,2
,通識示範大學,2
,言論自由日,2
,海洋暖化成,2
,51,2
,家庭,2
,公民參與媒體改造聯盟聲明稿,2
,煤,2
,20160928,2
,殺人影展5,2
,第16期,2
,穿山甲,2
,暴,2
,groups,2
,志工招募,2
,iphone,2
,早田文藏,2
,六輕生煤,2
,金門黑潮,2
,寶貝,2
,性侵受害人二度傷害,2
,勞基法,2
,平權不分黨派,2
,中秋節後餘生場,2
,守護台灣母親河,2
,婦女新知基金會2016感恩茶會宣傳影片,2
,綠色中國,2
,20170507,2
,20170506,2
,促進組織不只在形式與行動推動數位實踐,2
,工會痛批,2
,民間司改會2017工作計劃,2
,人權性平處,2
,免費工作權益法律諮詢,2
,批,2
,扣押幸福映後座談,2
,台灣同運史回顧,2
,紀錄片放映座談,2
,政策環評不能少,2
,種樹造林不簡單,2
,十年有成,2
,部分回歸全民健保,2
,association,2
,殘留農藥放更寬,2
,印尼志工隊的滅火雄心,2
,課程,2
,20170521,2
,20170429,2
,限制含塑膠微粒之化妝品及個人清潔用品製造,2
,pte,2
,2017年5月19日,2
,徵,2
,健保有著落,2
,tex,2
,要保障,2
,123怒砸衛福部,2
,鑑定機制與專家證人,2
,保衛環境,2
,第二十屆募款晚會,2
,青青菜菜,2
,永社年度研討會,2
,tsai,2
,誰該負責,2
,framework,2
,工會強烈訴求,2
,2017年01月捐款徵信,2
,從,2
,監督條例審查,2
,20170316記者會,2
,森林保衛戰,2
,個人隨機放生,2
,同志仍需努力,2
,平權筷炒店,2
,旋轉門,2
,私立大專教師年金改善方案,2
,友善帕斯堤,2
,部落,2
,政黨輪替,2
,洪秀柱,2
,捍衛性別正義,2
,怕了空污,2
,2016萬聖節抓鬼大遊行,2
,兩公約國家人權報告第二次國際審查,2
,永社第三屆理監事名單,2
,兩會,2
,綠點校園在土城,2
,媽媽,2
,黨產會,2
,寶衛地球,2
,批判政府,2
,支持環保署第二版,2
,高屏空污總量管制,2
,心得,2
,活動,2
,映後座談,2
,千呼萬喚熱線愛滋系列t,2
,報名,2
,台中同志父母聚會,2
,司法科學,2
,抗議政府與大學聯手打假球,2
,一中政策,2
,留一塊土地給動物,2
,為下一代陳情,2
,2016年12月捐款徵信,2
,2016年10月捐款徵信,2
,台灣第一間退場即將清算的大專,2
,花蓮座談,2
,遇見自然學校,2
,未來能否堅定守護憲法的人權價值,2
,160903文化平權之實踐及跨界合作之可能,2
,性,2
,觀音,2
,推出工具箱,2
,漫步在海邊的生態影展,2
,自由時報,2
,婦女團體,2
,外交部,2
,團體共同聲明,2
,失智症照護實踐者研習,2
,大林蒲要遷村,2
,徐自強的無罪之路,2
,蔡英文總統上任一週年,2
,蔡政府執政週年,2
,台獨,2
,分手,2
,近白海豚棲地,2
,假如故事們能織成力量的網,2
,因為有您,2
,學員名單與課程表,2
,國際特赦台灣,2
,第20期,2
,承諾,2
,反對大砍勞保給付19,2
,住盟聲明稿,2
,愛滋蓄意傳染條例,2
,大遊行,2
,再利用的真與假,2
,我們是靠山海吃飯的人,2
,歡迎報名參加,2
,各方案整理,2
,等待彩虹,2
,20161009,2
,20161002,2
,npos,2
,unscientific,1
,160902實踐障礙者文化參與之平權,1
,卻在北市核發販賣許可,1
,以欺騙人未留意便點擊了假冒網站被盜取密碼或是連到了放有惡意軟體的地方等等上當而損失的危險,1
,沒有回顧哪有,1
,重回凱道,1
,核廢集中式貯存逃避公投,1
,保鹿搶救金銀廳,1
,轉貼,1
,離島不新建,1
,國際溼地大會研討會參與心得,1
,g20大國照樣砸錢排碳,1
,徐世榮批南鐵案程序顛倒,1
,會展現真正的創新精神嗎,1
,街頭舉牌要求民主,1
,14日在臺北國父紀念館隆重開幕,1
,川普下一步要砍nasa預算,1
,談,1
,入侵風險不明,1
,兩岸媒體參觀採訪山河科技,1
,牌,1
